Timestamp(ms),IP_Address,RTT(ms),SequenceNum
403573428,127.0.0.1,21,371
403573428,127.0.0.1,29,370
403573428,127.0.0.1,22,371
403573428,127.0.0.1,15,372
403573428,127.0.0.1,15,372
403573455,127.0.0.1,35,373
403573463,127.0.0.1,43,373
403573463,127.0.0.1,36,374
403573463,127.0.0.1,36,374
403573483,127.0.0.1,49,375
403573484,127.0.0.1,43,376
403573484,127.0.0.1,36,377
403573484,127.0.0.1,29,378
403573484,127.0.0.1,50,375
403573484,127.0.0.1,43,376
403573484,127.0.0.1,36,377
403573484,127.0.0.1,29,378
403573497,127.0.0.1,35,379
403573497,127.0.0.1,29,380
403573497,127.0.0.1,21,381
403573497,127.0.0.1,35,379
403573497,127.0.0.1,28,380
403573498,127.0.0.1,22,381
403573512,127.0.0.1,29,382
403573512,127.0.0.1,22,383
403573512,127.0.0.1,29,382
403573512,127.0.0.1,22,383
403573518,127.0.0.1,22,384
403573518,127.0.0.1,22,384
403573518,127.0.0.1,15,385
403573518,127.0.0.1,14,385
403573546,127.0.0.1,35,386
403573553,127.0.0.1,42,386
403573553,127.0.0.1,36,387
403573553,127.0.0.1,29,388
403573553,127.0.0.1,22,389
403573553,127.0.0.1,14,390
403573574,127.0.0.1,29,391
403573580,127.0.0.1,63,387
403573581,127.0.0.1,56,388
403573581,127.0.0.1,49,389
403573581,127.0.0.1,42,390
403573581,127.0.0.1,36,391
403573581,127.0.0.1,29,392
403573581,127.0.0.1,22,393
403573581,127.0.0.1,29,392
403573582,127.0.0.1,23,393
403573582,127.0.0.1,16,394
403573582,127.0.0.1,16,394
403573608,127.0.0.1,35,395
403573615,127.0.0.1,42,395
403573615,127.0.0.1,35,396
403573615,127.0.0.1,35,396
403573616,127.0.0.1,29,397
403573616,127.0.0.1,23,398
403573616,127.0.0.1,15,399
403573616,127.0.0.1,29,397
403573616,127.0.0.1,22,398
403573616,127.0.0.1,15,399
403573636,127.0.0.1,29,400
403573636,127.0.0.1,22,401
403573636,127.0.0.1,28,400
403573671,127.0.0.1,50,402
403573671,127.0.0.1,43,403
403573671,127.0.0.1,56,401
403573671,127.0.0.1,49,402
403573671,127.0.0.1,42,403
403573671,127.0.0.1,36,404
403573671,127.0.0.1,29,405
403573678,127.0.0.1,43,404
403573678,127.0.0.1,36,405
403573678,127.0.0.1,29,406
403573678,127.0.0.1,22,407
403573678,127.0.0.1,14,408
403573698,127.0.0.1,49,406
403573699,127.0.0.1,43,407
403573699,127.0.0.1,36,408
403573699,127.0.0.1,29,409
403573699,127.0.0.1,29,409
403573699,127.0.0.1,22,410
403573699,127.0.0.1,15,411
403573733,127.0.0.1,42,412
403573733,127.0.0.1,56,410
403573733,127.0.0.1,49,411
403573734,127.0.0.1,43,412
403573761,127.0.0.1,63,413
403573761,127.0.0.1,56,414
403573761,127.0.0.1,50,415
403573761,127.0.0.1,42,416
403573761,127.0.0.1,63,413
403573762,127.0.0.1,57,414
403573762,127.0.0.1,51,415
403573762,127.0.0.1,43,416
403573762,127.0.0.1,36,417
403573768,127.0.0.1,43,417
403573768,127.0.0.1,36,418
403573768,127.0.0.1,29,419
403573768,127.0.0.1,22,420
403573768,127.0.0.1,35,418
403573768,127.0.0.1,28,419
403573769,127.0.0.1,22,420
403573769,127.0.0.1,16,421
403573789,127.0.0.1,29,422
403573789,127.0.0.1,36,421
403573789,127.0.0.1,29,422
403573824,127.0.0.1,57,423
403573824,127.0.0.1,50,424
403573824,127.0.0.1,43,425
403573824,127.0.0.1,57,423
403573824,127.0.0.1,49,424
403573824,127.0.0.1,43,425
403573852,127.0.0.1,64,426
403573852,127.0.0.1,57,427
403573852,127.0.0.1,50,428
403573852,127.0.0.1,43,429
403573852,127.0.0.1,64,426
403573852,127.0.0.1,57,427
403573852,127.0.0.1,50,428
403573852,127.0.0.1,43,429
403573858,127.0.0.1,42,430
403573858,127.0.0.1,42,430
403573858,127.0.0.1,35,431
403573859,127.0.0.1,36,431
403573859,127.0.0.1,29,432
403573859,127.0.0.1,22,433
403573859,127.0.0.1,29,432
