Timestamp(ms),PacketLoss,Throughput,Jitter,MsgRecv(Unrel),MsgRecv(UnrelSeq),MsgRecv(Rel),MsgRecv(RelOrd),MsgRecv(RelSeq),MsgRecv(UnrelAck),MsgRecv(RelAck),MsgRecv(RelOrdAck),Jitter(Unrel),Jitter(UnrelSeq),Jitter(Rel),Jitter(RelOrd),Jitter(RelSeq),Jitter(UnrelAck),Jitter(RelAck),Jitter(RelOrdAck)
100047945,0.0000,1940,10816.00,33556,3371,0,0,0,0,0,0,1976041.69,4944.80,0.00,0.00,0.00,0.00,0.00,0.00
100048951,0.0000,1936,10816.00,33556,3402,0,0,0,0,0,0,1976041.69,3553.61,0.00,0.00,0.00,0.00,0.00,0.00
100049951,0.0000,2101,10816.00,33558,3434,0,0,0,0,0,0,1997926.95,2733.19,0.00,0.00,0.00,0.00,0.00,0.00
100050951,0.0000,1881,10816.00,33558,3465,0,0,0,0,0,0,1997926.95,1637.24,0.00,0.00,0.00,0.00,0.00,0.00
100051951,0.0000,1940,10816.00,33558,3496,0,0,0,0,0,0,1997926.95,4029.81,0.00,0.00,0.00,0.00,0.00,0.00
100052957,0.0000,1947,10816.00,33558,3528,0,0,0,0,0,0,1997926.95,3092.64,0.00,0.00,0.00,0.00,0.00,0.00
100053958,0.0000,2054,10816.00,33558,3559,0,0,0,0,0,0,1997926.95,3697.13,0.00,0.00,0.00,0.00,0.00,0.00
100054964,0.0000,1987,10816.00,33560,3591,0,0,0,0,0,0,2068496.42,2066.79,0.00,0.00,0.00,0.00,0.00,0.00
100055964,0.0000,1940,10816.00,33560,3622,0,0,0,0,0,0,2068496.42,3420.55,0.00,0.00,0.00,0.00,0.00,0.00
100056964,0.0000,1940,10816.00,33560,3653,0,0,0,0,0,0,2068496.42,3625.21,0.00,0.00,0.00,0.00,0.00,0.00
100057964,0.0000,2117,10816.00,33560,3685,0,0,0,0,0,0,2068496.42,2152.33,0.00,0.00,0.00,0.00,0.00,0.00
