Timestamp(ms),IP_Address,RTT(ms),SequenceNum
513707,192.168.1.8,493885,330
515223,192.168.1.15,495394,331
515241,192.168.1.8,495410,331
516741,192.168.1.15,496903,332
516747,192.168.1.8,496908,332
518238,192.168.1.15,498391,333
518256,192.168.1.8,498408,333
519750,192.168.1.15,499895,334
519764,192.168.1.8,499907,334
521265,192.168.1.15,501401,335
521290,192.168.1.8,501424,335
522786,192.168.1.15,502913,336
522805,192.168.1.8,502931,336
524302,192.168.1.15,504420,337
524320,192.168.1.8,504437,337
525804,192.168.1.15,505912,338
525822,192.168.1.8,505929,338
527313,192.168.1.15,507413,339
527326,192.168.1.8,507425,339
528812,192.168.1.15,508903,340
528830,192.168.1.8,508919,340
530328,192.168.1.15,510410,341
530359,192.168.1.8,510439,341
531836,192.168.1.15,511909,342
531842,192.168.1.8,511913,342
533345,192.168.1.15,513408,343
533362,192.168.1.8,513423,343
534841,192.168.1.15,514895,344
534853,192.168.1.8,514905,344
536345,192.168.1.15,516389,345
536346,192.168.1.8,516389,345
537850,192.168.1.15,517886,346
537870,192.168.1.8,517905,346
539355,192.168.1.15,519382,347
539367,192.168.1.8,519393,347
540876,192.168.1.15,520893,348
540882,192.168.1.8,520898,348
542370,192.168.1.15,522379,349
542391,192.168.1.8,522398,349
543879,192.168.1.15,523878,350
543886,192.168.1.8,523884,350
545384,192.168.1.15,525375,351
545409,192.168.1.8,525398,351
546887,192.168.1.15,526869,352
546893,192.168.1.8,526874,352
548394,192.168.1.15,528367,353
548406,192.168.1.8,528378,353
549897,192.168.1.15,529861,354
549918,192.168.1.8,529881,354
551415,192.168.1.15,531370,355
551434,192.168.1.8,531387,355
552920,192.168.1.15,532866,356
552920,192.168.1.8,532864,356
554414,192.168.1.15,534351,357
554434,192.168.1.8,534369,357
555926,192.168.1.15,535854,358
555953,192.168.1.8,535880,358
557456,192.168.1.15,537375,359
557462,192.168.1.8,537380,359
558970,192.168.1.15,538880,360
558970,192.168.1.8,538879,360
560442,192.168.1.15,540343,361
560467,192.168.1.8,540367,361
561961,192.168.1.15,541853,362
561980,192.168.1.8,541870,362
563444,192.168.1.15,543327,363
563463,192.168.1.8,543345,363
564951,192.168.1.15,544825,364
564963,192.168.1.8,544836,364
566452,192.168.1.15,546317,365
566464,192.168.1.8,546328,365
567965,192.168.1.15,547821,366
567972,192.168.1.8,547827,366
569475,192.168.1.15,549323,367
569487,192.168.1.8,549333,367
570987,192.168.1.15,550826,368
571000,192.168.1.8,550838,368
572499,192.168.1.15,552329,369
572518,192.168.1.8,552347,369
573988,192.168.1.15,553809,370
574007,192.168.1.8,553827,370
575511,192.168.1.15,555324,371
575511,192.168.1.8,555322,371
577020,192.168.1.15,556823,372
577026,192.168.1.8,556828,372
578524,192.168.1.15,558319,373
578550,192.168.1.8,558343,373
580039,192.168.1.15,559825,374
